"Code","Class","Order","Suborder","Family","Subfamily","Genus","Species","SpeciesEpithet","Clutter","Clutter_Edge","Open"
"YAN040103007","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","nanulus","Mops_nanulus",0,0,2
"YAN040103008","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","niangarae","Mops_niangarae",0,0,2
"YAN040103009","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","niveiventer","Mops_niveiventer",0,0,2
"YAN040103010","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","petersoni","Mops_petersoni",0,0,2
"YAN040103011","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","spurrelli","Mops_spurrelli",0,0,2
"YAN040103012","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","thersites","Mops_thersites",0,0,2
"YAN040103013","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","trevori","Mops_trevori",0,0,2
"YAN040103014","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Mops","leucostigma","Mops_leucostigma",0,0,2
"YAN040104001","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Otomops","harrisoni","Otomops_harrisoni",0,0,2
"YAN040104002","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Otomops","martiensseni","Otomops_martiensseni",0,0,2
"YAN040104003","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Otomops","madagascariensis","Otomops_madagascariensis",0,0,2
"YAN040105001","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Myopterus","daubentonii","Myopterus_daubentonii",0,0,2
"YAN040105002","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Myopterus","whitleyi","Myopterus_whitleyi",0,0,2
"YAN040106001","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Platymops","setiger","Platymops_setiger",0,0,2
"YAN040107001","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Sauromys","petrophilus","Sauromys_petrophilus",0,0,2
"YAN040108001","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Tadarida","teniotis","Tadarida_teniotis",0,0,2
"YAN040108002","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Tadarida","aegyptiaca","Tadarida_aegyptiaca",0,0,2
"YAN040108003","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Tadarida","lobata","Tadarida_lobata",0,0,2
"YAN040108004","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Tadarida","ventralis","Tadarida_ventralis",0,0,2
"YAN040108005","Mammalia","Chiroptera","Yangochiroptera","Molossidae","Molossinae","Tadarida","fulminans","Tadarida_fulminans",0,0,2
"YAN050001001","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","schreibersii","Miniopterus_schreibersii",0,1,2
"YAN050001002","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","maghrebensis","Miniopterus_maghrebensis",0,0,2
"YAN050001003","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","villiersi","Miniopterus_villiersi",0,2,0
"YAN050001004","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","inflatus","Miniopterus_inflatus",0,2,0
"YAN050001005","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","nimbae","Miniopterus_nimbae",NA,NA,NA
"YAN050001006","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","newtoni","Miniopterus_newtoni",0,NA,NA
"YAN050001007","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","minor","Miniopterus_minor",0,NA,NA
"YAN050001008","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","wilsoni","Miniopterus_wilsoni",NA,NA,NA
"YAN050001009","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","arenarius","Miniopterus_arenarius",0,NA,NA
"YAN050001010","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","africanus","Miniopterus_africanus",0,0,2
"YAN050001011","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","natalensis","Miniopterus_natalensis",0,2,1
"YAN050001012","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","mossambicus","Miniopterus_mossambicus",0,NA,NA
"YAN050001013","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","fraterculus","Miniopterus_fraterculus",1,2,0
"YAN050001014","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","aelleni","Miniopterus_aelleni",0,NA,NA
"YAN050001015","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","griveaudi","Miniopterus_griveaudi",0,0,2
"YAN050001016","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","gleni","Miniopterus_gleni",0,NA,NA
"YAN050001017","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","brachytragos","Miniopterus_brachytragos",0,NA,NA
"YAN050001018","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","ambohitrensis","Miniopterus_ambohitrensis",0,NA,NA
"YAN050001019","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","majori","Miniopterus_majori",0,NA,NA
"YAN050001020","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","egeri","Miniopterus_egeri",0,NA,NA
"YAN050001021","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","manavi","Miniopterus_manavi",0,NA,NA
"YAN050001022","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","sororculus","Miniopterus_sororculus",0,NA,NA
"YAN050001023","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","petersoni","Miniopterus_petersoni",0,NA,NA
"YAN050001024","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","mahafaliensis","Miniopterus_mahafaliensis",0,2,2
"YAN050001025","Mammalia","Chiroptera","Yangochiroptera","Miniopteridae",NA,"Miniopterus","griffithsi","Miniopterus_griffithsi",0,NA,NA
"YAN060001001","Mammalia","Chiroptera","Yangochiroptera","Cistugidae",NA,"Cistugo","seabrae","Cistugo_seabrae",0,2,0
"YAN060001002","Mammalia","Chiroptera","Yangochiroptera","Cistugidae",NA,"Cistugo","lesueuri","Cistugo_lesueuri",0,2,1
"YAN070101001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotoecus","hirundo","Scotoecus_hirundo",0,0,2
"YAN070101002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotoecus","albofuscus","Scotoecus_albofuscus",0,0,2
"YAN070102001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Vansonia","rueppellii","Vansonia_rueppellii",0,0,2
"YAN070103001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nyctalus","lasiopterus","Nyctalus_lasiopterus",2,0,0
"YAN070103002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nyctalus","leisleri","Nyctalus_leisleri",0,0,2
"YAN070104001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","pipistrellus","Pipistrellus_pipistrellus",0,2,1
"YAN070104002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","hanaki","Pipistrellus_hanaki",0,0,2
"YAN070104003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","kuhlii","Pipistrellus_kuhlii",0,0,2
"YAN070104004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","hesperidus","Pipistrellus_hesperidus",0,2,0
"YAN070104005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","simandouensis","Pipistrellus_simandouensis",NA,NA,NA
"YAN070104006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","rusticus","Pipistrellus_rusticus",0,0,2
"YAN070104007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","nanulus","Pipistrellus_nanulus",NA,NA,NA
"YAN070104008","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","inexspectatus","Pipistrellus_inexspectatus",NA,NA,NA
"YAN070104009","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","aero","Pipistrellus_aero",NA,NA,NA
"YAN070104010","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","permixtus","Pipistrellus_permixtus",NA,NA,NA
"YAN070104011","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pipistrellus","raceyi","Pipistrellus_raceyi",NA,NA,NA
"YAN070105001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Hypsugo","ariel","Hypsugo_ariel",0,1,2
"YAN070105002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Hypsugo","savii","Hypsugo_savii",0,0,2
"YAN070105003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Hypsugo","musciculus","Hypsugo_musciculus",NA,NA,NA
"YAN070106001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nycticeinops","crassulus","Nycticeinops_crassulus",2,0,0
"YAN070106002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nycticeinops","eisentrauti","Nycticeinops_eisentrauti",NA,NA,NA
"YAN070106003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nycticeinops","schlieffenii","Nycticeinops_schlieffenii",0,2,0
"YAN070106004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Nycticeinops","grandidieri","Nycticeinops_grandidieri",NA,NA,NA
"YAN070107001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Mimetillus","moloneyi","Mimetillus_moloneyi",NA,NA,NA
"YAN070108001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Neoromicia","anchietae","Neoromicia_anchietae",NA,NA,NA
"YAN070108002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Neoromicia","bemainty","Neoromicia_bemainty",NA,NA,NA
"YAN070108003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Neoromicia","zuluensis","Neoromicia_zuluensis",0,2,0
"YAN070108004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Neoromicia","guineensis","Neoromicia_guineensis",NA,NA,NA
"YAN070108005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Neoromicia","somalica","Neoromicia_somalica",0,0,2
"YAN070109001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Afronycteris","nanus","Afronycteris_nanus",0,2,0
"YAN070109002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Afronycteris","helios","Afronycteris_helios",NA,NA,NA
"YAN070110001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","rendalli","Pseudoromicia_rendalli",NA,NA,NA
"YAN070110002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","brunnea","Pseudoromicia_brunnea",NA,NA,NA
"YAN070110003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","roseveari","Pseudoromicia_roseveari",NA,NA,NA
"YAN070110004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","kityoi","Pseudoromicia_kityoi",NA,NA,NA
"YAN070110005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","nyanza","Pseudoromicia_nyanza",NA,2,NA
"YAN070110006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","isabella","Pseudoromicia_isabella",NA,NA,NA
"YAN070110007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Pseudoromicia","tenuipinnis","Pseudoromicia_tenuipinnis",2,0,2
"YAN070111001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","capensis","Laephotis_capensis",0,2,0
"YAN070111002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","kirinyaga","Laephotis_kirinyaga",NA,NA,NA
"YAN070111003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","matroka","Laephotis_matroka",NA,NA,NA
"YAN070111004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","malagasyensis","Laephotis_malagasyensis",NA,NA,NA
"YAN070111005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","robertsi","Laephotis_robertsi",NA,NA,NA
"YAN070111006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","stanleyi","Laephotis_stanleyi",NA,NA,NA
"YAN070111007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","wintoni","Laephotis_wintoni",NA,NA,NA
"YAN070111008","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","angolensis","Laephotis_angolensis",NA,NA,NA
"YAN070111009","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","botswanae","Laephotis_botswanae",NA,NA,NA
"YAN070111010","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Laephotis","namibensis","Laephotis_namibensis",0,2,0
"YAN070112001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","variegata","Glauconycteris_variegata",0,2,0
"YAN070112002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","machadoi","Glauconycteris_machadoi",NA,NA,NA
"YAN070112003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","gleni","Glauconycteris_gleni",NA,NA,NA
"YAN070112004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","superba","Glauconycteris_superba",NA,NA,NA
"YAN070112005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","argentata","Glauconycteris_argentata",NA,NA,NA
"YAN070112006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","egeria","Glauconycteris_egeria",NA,NA,NA
"YAN070112007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","poensis","Glauconycteris_poensis",NA,NA,NA
"YAN070112008","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","alboguttata","Glauconycteris_alboguttata",NA,NA,NA
"YAN070112009","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","beatrix","Glauconycteris_beatrix",NA,NA,NA
"YAN070112010","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","curryae","Glauconycteris_curryae",NA,NA,NA
"YAN070112011","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","humeralis","Glauconycteris_humeralis",NA,NA,NA
"YAN070112012","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","atra","Glauconycteris_atra",NA,NA,NA
"YAN070112013","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Glauconycteris","kenyacola","Glauconycteris_kenyacola",NA,NA,NA
"YAN070113001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Eptesicus","floweri","Eptesicus_floweri",NA,NA,NA
"YAN070113002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Eptesicus","platyops","Eptesicus_platyops",NA,NA,NA
"YAN070113003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Eptesicus","hottentotus","Eptesicus_hottentotus",0,2,0
"YAN070113004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Eptesicus","bottae","Eptesicus_bottae",NA,NA,NA
"YAN070113005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Eptesicus","isabellinus","Eptesicus_isabellinus",NA,NA,NA
"YAN070114001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Barbastella","barbastellus","Barbastella_barbastellus",0,2,0
"YAN070114002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Barbastella","leucomelas","Barbastella_leucomelas",NA,NA,NA
"YAN070115001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Plecotus","teneriffae","Plecotus_teneriffae",NA,NA,1
"YAN070115002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Plecotus","gaisleri","Plecotus_gaisleri",2,0,0
"YAN070115003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Plecotus","christii","Plecotus_christii",NA,NA,NA
"YAN070115004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Plecotus","balensis","Plecotus_balensis",NA,NA,2
"YAN070116001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Otonycteris","hemprichii","Otonycteris_hemprichii",NA,NA,NA
"YAN070117001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","nux","Scotophilus_nux",NA,NA,NA
"YAN070117002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","tandrefana","Scotophilus_tandrefana",NA,NA,NA
"YAN070117003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","marovaza","Scotophilus_marovaza",NA,NA,NA
"YAN070117004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","leucogaster","Scotophilus_leucogaster",0,2,2
"YAN070117005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","altilis","Scotophilus_altilis",NA,NA,NA
"YAN070117006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","robustus","Scotophilus_robustus",NA,NA,NA
"YAN070117007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","borbonicus","Scotophilus_borbonicus",NA,NA,NA
"YAN070117008","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","viridis","Scotophilus_viridis",0,2,2
"YAN070117009","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","ejetai","Scotophilus_ejetai",NA,NA,NA
"YAN070117010","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","nigrita","Scotophilus_nigrita",NA,NA,NA
"YAN070117011","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","nucella","Scotophilus_nucella",NA,NA,NA
"YAN070117012","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","andrewreborii","Scotophilus_andrewreborii",NA,NA,NA
"YAN070117013","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","nigritellus","Scotophilus_nigritellus",NA,NA,NA
"YAN070117014","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","livingstonii","Scotophilus_livingstonii",NA,NA,NA
"YAN070117015","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","trujilloi","Scotophilus_trujilloi",NA,NA,NA
"YAN070117016","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","dinganii","Scotophilus_dinganii",0,1,2
"YAN070117017","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Vespertilioninae","Scotophilus","colias","Scotophilus_colias",NA,NA,NA
"YAN070201001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","lanosa","Kerivoula_lanosa",2,NA,NA
"YAN070201002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","eriophora","Kerivoula_eriophora",NA,NA,NA
"YAN070201003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","africana","Kerivoula_africana",NA,NA,NA
"YAN070201004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","smithii","Kerivoula_smithii",NA,NA,NA
"YAN070201005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","cuprosa","Kerivoula_cuprosa",2,0,0
"YAN070201006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","phalaena","Kerivoula_phalaena",NA,NA,NA
"YAN070201007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Kerivoulinae","Kerivoula","argentata","Kerivoula_argentata",2,0,0
"YAN070301001","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","emarginatus","Myotis_emarginatus",0,0,2
"YAN070301002","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","tricolor","Myotis_tricolor",0,2,0
"YAN070301003","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","welwitschii","Myotis_welwitschii",0,2,0
"YAN070301004","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","scotti","Myotis_scotti",NA,NA,NA
"YAN070301005","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","morrisi","Myotis_morrisi",NA,NA,NA
"YAN070301006","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","bocagii","Myotis_bocagii",2,2,0
"YAN070301007","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","goudoti","Myotis_goudotii",NA,NA,NA
"YAN070301008","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","anjouanensis","Myotis_anjouanensis",NA,NA,NA
"YAN070301009","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","dieteri","Myotis_dieteri",NA,NA,NA
"YAN070301010","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","mystacinus","Myotis_mystacinus",0,2,0
"YAN070301011","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","capaccinii","Myotis_capaccinii",NA,NA,NA
"YAN070301012","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","punicus","Myotis_punicus",0,0,2
"YAN070301013","Mammalia","Chiroptera","Yangochiroptera","Vespertilionidae","Myotinae","Myotis","zenatius","Myotis_zenatius",2,0,0
