familyName,genusName,scientificName.iucn.sub,forearm_mm,forearm_sd,forearm_n,mass_g,mass_sd,mass_n,wingspan_cm,wingspan_sd,wingspan_n,wingSurfaceArea_cm2,wingSurfaceArea_sd,wingSurfaceArea_n,liftingSurfaceArea_cm2,liftingSurfaceArea_sd,liftingSurfaceArea_n,totalAspectRatio,totalWingLoading_Nm2,totalRelativeLoading,totalAspectRatio_sd,totalWingLoading_sd,totalRelativeLoading_sd,totalAspectRatio_n,totalWingLoading_n,partialAspectRatio,partialWingLoading_Nm2,partialRelativeLoading,partialAspectRatio_sd,partialWingLoading_sd,partialRelativeLoading_sd,partialAspectRatio_n,partialWingLoading_n,partialRelativeLoading_n,totalRelativeLoading_ext,partialRelativeLoading_ext,totalWingLoading_Nm2_ext,partialWingLoading_Nm2_ext,totalAspectRatio_ext,partialAspectRatio_ext,lifestage,references
VESPERTILIONIDAE,Myotis,Myotis lucifugus,37.62,0.45,303,7.36,0.83,400,24.77,0.94,357,NA,NA,0,109.79,NA,357,5.61,6.46,0,NA,0.77,NA,357,354,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.46,NA,5.61,NA,adult,"4, 10, 101, 110, 120, 225, 227, 241, 258"
VESPERTILIONIDAE,Myotis,Myotis moluccarum,NA,NA,0,10.6,1.6,17,28.8,0.8,17,NA,NA,0,140,10,17,6.07,7.54,0,0.39,1.09,NA,17,17,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.54,NA,6.07,NA,adult,27
VESPERTILIONIDAE,Myotis,Myotis montivagus,45,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,6.5,NA,35.8,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,35.8,NA,NA,NA,6.5,NA,adult,"30, 258"
VESPERTILIONIDAE,Myotis,Myotis muricola,NA,NA,0,4.9,0.22,22,24.47,0.34,22,83.14,1.83,21,110,NA,1,5.88,4.4,0,NA,NA,NA,1,1,7.5,6.1,0,0.14,0.26,NA,21,21,21,0,0,4.4,6.1,5.88,7.5,adult,"25, 26, 258"
VESPERTILIONIDAE,Myotis,Myotis myotis,NA,NA,0,26.5,NA,1,38.3,NA,1,NA,NA,0,233,NA,1,6.3,11.2,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,11.2,NA,6.3,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis mystacinus,NA,NA,0,5.65,0.35,2,22.15,1.2,2,NA,NA,0,75,NA,1,6,7.1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.1,NA,6,NA,adult,"4, 216"
VESPERTILIONIDAE,Myotis,Myotis nattereri,NA,NA,0,7,NA,1,26.8,NA,1,NA,NA,0,113,NA,1,6.4,6.1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.1,NA,6.4,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis nigricans,NA,NA,0,4.29,0.29,10,21,NA,1,NA,NA,0,68,NA,1,6.5,6.1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.1,NA,6.5,NA,adult,"4, 136"
VESPERTILIONIDAE,Myotis,Myotis occultus,NA,NA,0,8.7,NA,1,26.4,NA,1,NA,NA,0,117,NA,1,6,7.3,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.3,NA,6,NA,adult,4
VESPERTILIONIDAE,Myotis,Myotis pequinius,50.27,NA,15,10.89,NA,15,34.23,NA,15,NA,NA,0,190.25,NA,15,6.16,0,0,NA,NA,NA,15,15,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,6.16,NA,adult,44
VESPERTILIONIDAE,Myotis,Myotis pilosus,56.1,1.3,28,19.2,2.88,49,37.55,5.68,49,NA,NA,0,237.59,22.67,21,7.9,8.57,0,0.67,0.73,NA,21,21,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,8.57,NA,7.9,NA,adult,"25, 155, 164"
VESPERTILIONIDAE,Myotis,Myotis ridleyi,NA,NA,0,4,0,20,20.5,1.3,20,NA,NA,0,70,10,20,5.65,5.61,0,0.27,0.34,NA,20,20,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.61,NA,5.65,NA,adult,"79, 258"
VESPERTILIONIDAE,Myotis,Myotis septentrionalis,36.83,0.39,51,6.47,0.61,61,23.07,2.34,42,NA,NA,0,101.59,6.86,42,5.26,6.25,0,0.72,0.79,NA,42,42,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.25,NA,5.26,NA,adult,"101, 120, 241"
VESPERTILIONIDAE,Myotis,Myotis siligorensis,35.1,1.5,14,4.55,0.84,26,20.5,1.12,26,NA,NA,0,80,NA,12,5.51,4.96,0,0.33,0.46,NA,12,12,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,4.96,NA,5.51,NA,adult,"25, 164, 258"
VESPERTILIONIDAE,Myotis,Myotis sodalis,NA,NA,0,6.8,NA,1,23.4,NA,1,NA,NA,0,102,NA,1,5.4,6.5,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.5,NA,5.4,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis thysanodes,NA,NA,0,8.4,NA,1,28.5,NA,1,NA,NA,0,134,NA,1,6.1,6.2,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.2,NA,6.1,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis tricolor,49.71,1.56,32,13.57,2.06,45,31.56,1.57,44,NA,NA,0,168.59,16.5,44,5.95,6.26,1.45,NA,3.05,NA,46,46,NA,NA,NA,NA,NA,NA,0,0,0,1.45,NA,6.26,NA,5.95,NA,adult,"4, 28, 29, 78, 101, 166, 258"
VESPERTILIONIDAE,Myotis,Myotis velifer,NA,NA,0,9.1,NA,1,29.6,NA,1,NA,NA,0,142,NA,1,6.2,6.3,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.3,NA,6.2,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis vivesi,NA,NA,0,25,NA,1,44.8,NA,1,NA,NA,0,271,NA,1,7.4,9,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9,NA,7.4,NA,adult,"4, 258"
VESPERTILIONIDAE,Myotis,Myotis volans,38.58,0.69,72,6.98,0.54,73,25.29,0.4,73,NA,NA,0,121.34,NA,73,5.28,5.65,0,0.11,0.45,NA,73,73,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.65,NA,5.28,NA,adult,"4, 10, 258"
VESPERTILIONIDAE,Myotis,Myotis welwitschii,NA,NA,0,18,NA,1,36.6,NA,1,NA,NA,0,234.9,NA,1,5.7,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,5.7,NA,adult,"29, 258"
VESPERTILIONIDAE,Myotis,Myotis yumanensis,NA,NA,0,5.2,NA,1,20.3,NA,1,NA,NA,0,65,NA,1,6.3,7.8,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.8,NA,6.3,NA,adult,"4, 258"
VESPERTILIONIDAE,Neoromicia,Neoromicia capensis,35.81,1.32,19,7.06,0.77,35,23.21,1.11,34,NA,NA,0,89.87,8.09,34,6.14,5.79,11.67,NA,3.28,NA,45,45,NA,NA,NA,NA,NA,NA,0,0,0,11.67,NA,5.79,NA,6.14,NA,adult,"4, 28, 29, 78, 101, 166, 258"
VESPERTILIONIDAE,Neoromicia,Neoromicia guineensis,NA,NA,0,NA,NA,0,19.8,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"4, 258"
VESPERTILIONIDAE,Neoromicia,Neoromicia nana,NA,NA,0,4.19,0.6,21,21.79,1.06,16,NA,NA,0,81.91,7.99,16,6.08,3.5,12.6,NA,3.8,NA,21,21,NA,NA,NA,NA,NA,NA,0,0,0,12.6,NA,3.5,NA,6.08,NA,adult,"4, 28, 29, 166"
VESPERTILIONIDAE,Neoromicia,Neoromicia rendalli,NA,NA,0,NA,NA,0,26.7,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"4, 258"
VESPERTILIONIDAE,Neoromicia,Neoromicia tenuipinnis,NA,NA,0,5.3,NA,1,19,NA,1,NA,NA,0,52,NA,1,5.5,9.9,0.01,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0.01,NA,9.9,NA,5.5,NA,adult,"4, 258"
VESPERTILIONIDAE,Neoromicia,Neoromicia zuluensis,NA,NA,0,4.51,0.96,7,21.27,0.88,3,NA,NA,0,77.27,7.28,3,6.18,4.07,20.52,NA,2.87,NA,7,7,NA,NA,NA,NA,NA,NA,0,0,0,20.52,NA,4.07,NA,6.18,NA,adult,"4, 29, 166"
VESPERTILIONIDAE,Nyctalus,Nyctalus lasiopterus,64.4,1.52,170,47.9,0.41,155,45,2.33,12,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"117, 258"
VESPERTILIONIDAE,Nyctalus,Nyctalus leisleri,NA,NA,0,16.9,NA,1,26,NA,1,NA,NA,0,86,NA,1,7.9,19.3,0.01,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0.01,NA,19.3,NA,7.9,NA,adult,"4, 258"
VESPERTILIONIDAE,Nyctalus,Nyctalus noctula,53.99,1.46,135,24.71,2.7,136,28.18,1.3,136,123.06,9.9,135,161,NA,1,7.4,16.1,0.01,NA,NA,NA,1,1,6.43,0,0.01,0.23,NA,NA,135,135,135,0.01,0.01,16.1,0,7.4,6.43,adult,"4, 97, 258"
VESPERTILIONIDAE,Nyctalus,Nyctalus plancyi,50.7,1.3,5,23.59,2.43,31,35.14,2.35,31,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"154, 164"
VESPERTILIONIDAE,Nycticeinops,Nycticeinops schlieffeni,NA,NA,0,5.2,0.66,13,21.73,0.58,3,NA,NA,0,76.47,3.26,3,6.74,5.67,30.14,NA,2.66,NA,13,13,NA,NA,NA,NA,NA,NA,0,0,0,30.14,NA,5.67,NA,6.74,NA,adult,"4, 29, 166, 258"
VESPERTILIONIDAE,Nycticeius,Nycticeius humeralis,NA,NA,0,9.6,NA,1,24.4,NA,1,NA,NA,0,88,NA,1,6.8,10.7,0.01,NA,NA,NA,1,1,NA,11.8,NA,NA,1,NA,0,5,0,0.01,55.52,10.7,11.8,6.8,NA,adult,"4, 168, 258"
VESPERTILIONIDAE,Nyctophilus,Nyctophilus bifax,43.4,1.13,29,9.9,0.89,58,28.65,2.21,58,NA,NA,0,159.5,17.96,58,5.18,6.2,0,0.53,1.03,NA,58,58,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.2,NA,5.18,NA,adult,"27, 158, 258"
VESPERTILIONIDAE,Nyctophilus,Nyctophilus geoffroyi,NA,NA,0,7.33,1.18,32,26.85,0.98,25,NA,NA,0,122.28,13.22,25,5.84,6.19,27.79,0.43,0.55,5.62,27,27,NA,NA,NA,NA,NA,NA,0,0,0,27.79,NA,6.19,NA,5.84,NA,adult,"4, 27, 100, 145, 239"
VESPERTILIONIDAE,Nyctophilus,Nyctophilus gouldi,NA,NA,0,9.28,1.18,24,28.36,2.35,21,NA,NA,0,141.95,22.42,21,5.63,6.48,14.36,0.48,1.09,11.05,24,24,NA,NA,NA,NA,NA,NA,0,0,0,14.36,NA,6.48,NA,5.63,NA,adult,"4, 27, 100, 145, 258"
VESPERTILIONIDAE,Nyctophilus,Nyctophilus shirleyae,NA,NA,0,9.5,NA,1,29.4,NA,1,NA,NA,0,140,NA,1,6.2,6.7,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.7,NA,6.2,NA,adult,4
VESPERTILIONIDAE,Parastrellus,Parastrellus hesperus,NA,NA,0,3.9,0.51,6,19.99,0.77,6,NA,NA,0,60.5,6.73,6,6.45,6.23,0,0.48,0.78,NA,6,6,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.23,NA,6.45,NA,adult,"4, 110"
VESPERTILIONIDAE,Perimyotis,Perimyotis subflavus,NA,NA,0,5.1,NA,1,23.7,NA,1,NA,NA,0,90,NA,1,6.2,5.6,0,NA,NA,NA,1,1,NA,7.8,NA,NA,1.4,NA,0,20,0,0,45.31,5.6,7.8,6.2,NA,adult,"4, 168"
VESPERTILIONIDAE,Phoniscus,Phoniscus papuensis,37.2,1.03,11,6.1,0.57,22,27.15,1.44,22,NA,NA,0,139.5,28.46,22,5.31,4.32,0,0.26,0.54,NA,22,22,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,4.32,NA,5.31,NA,adult,"27, 158, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus abramus,NA,NA,0,5.82,0.97,64,12.13,0.54,64,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"165, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus ceylonicus,39,NA,1,8.2,NA,1,25.6,NA,1,NA,NA,0,83,NA,1,7.6,9.6,22.65,0.42,NA,32.03,2,1,NA,NA,NA,NA,NA,NA,0,0,0,22.65,NA,9.6,NA,7.6,NA,adult,"4, 30, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus hesperidus,NA,NA,0,6.93,0.75,15,22,1.17,15,NA,NA,0,85.2,5.24,15,5.62,2.1,0,NA,3.08,NA,15,15,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2.1,NA,5.62,NA,adult,"28, 29"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus javanicus,NA,NA,0,5.17,0.57,3,20.7,1.9,2,NA,NA,0,76,9.9,3,5.48,6.87,0,0.65,0.95,NA,2,3,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.87,NA,5.48,NA,adult,"4, 25, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus kuhlii,NA,NA,0,5.22,0.49,16,23.66,1.49,16,NA,NA,0,80.25,9.09,16,6.98,0.53,0,NA,2.12,NA,16,16,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0.53,NA,6.98,NA,adult,"4, 257, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus musciculus,NA,NA,0,NA,NA,0,16.2,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,4
VESPERTILIONIDAE,Pipistrellus,Pipistrellus nanulus,NA,NA,0,2.5,NA,1,15.2,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"4, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus nathusii,NA,NA,0,6.7,NA,1,21.9,NA,1,NA,NA,0,67,NA,1,7.2,9.8,0.01,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0.01,NA,9.8,NA,7.2,NA,adult,"4, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus pipistrellus,31.79,0.61,20,5.38,0.49,8,22.25,1.11,28,NA,NA,0,76.31,8.13,27,6.53,8.01,0,NA,NA,NA,27,7,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,8.01,NA,6.53,NA,adult,"4, 216, 220, 228, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus pulveratus,NA,NA,0,5.4,0.8,4,23.2,1,4,NA,NA,0,90,10,4,5.68,5.68,0,0.04,0.73,NA,4,4,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.68,NA,5.68,NA,adult,25
VESPERTILIONIDAE,Pipistrellus,Pipistrellus rueppellii,NA,NA,0,7,0.61,5,25.2,NA,1,NA,NA,0,101,NA,1,6.3,7.2,28.44,0.52,1.03,NA,5,5,NA,NA,NA,NA,NA,NA,0,0,0,28.44,NA,7.2,NA,6.3,NA,adult,"4, 166, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus rusticus,NA,NA,0,6,1.42,13,20.25,0.92,11,NA,NA,0,73.82,5.65,11,5.76,1.62,6.3,NA,1.12,NA,13,13,NA,NA,NA,NA,NA,NA,0,0,0,6.3,NA,1.62,NA,5.76,NA,adult,"4, 29, 166, 258"
VESPERTILIONIDAE,Pipistrellus,Pipistrellus tenuis,NA,NA,0,3.5,NA,29,19.49,0.96,45,NA,NA,0,56.88,4.5,29,6.79,5.72,0,0.58,0.87,NA,29,29,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.72,NA,6.79,NA,adult,"4, 149, 150, 258"
VESPERTILIONIDAE,Plecotus,Plecotus auritus,39.2,0.8,35,9.17,0.29,3,26.42,0.87,31,NA,NA,0,123.5,0.71,2,5.8,7.15,0,0.14,0.07,0,2,2,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.15,NA,5.8,NA,adult,"4, 174, 216, 220, 258"
VESPERTILIONIDAE,Plecotus,Plecotus austriacus,NA,NA,0,10,NA,1,27.6,NA,1,NA,NA,0,124,NA,1,6.1,7.9,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.9,NA,6.1,NA,adult,"4, 258"
VESPERTILIONIDAE,Rhogeessa,Rhogeessa io,NA,NA,0,4.87,0.38,12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,138
VESPERTILIONIDAE,Rhogeessa,Rhogeessa tumida,NA,NA,0,3.9,NA,1,18.7,NA,1,NA,NA,0,56,NA,1,6.2,6.8,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.8,NA,6.2,NA,adult,"4, 258"
VESPERTILIONIDAE,Scoteanax,Scoteanax rueppellii,NA,NA,0,31.72,2.06,4,39.45,1.84,4,NA,NA,0,244,14.51,4,6.35,12.67,0,0.22,0.28,NA,4,4,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,12.67,NA,6.35,NA,adult,"4, 27, 258"
VESPERTILIONIDAE,Scotoecus,Scotoecus albofuscus,NA,NA,0,10.5,NA,1,21.1,NA,1,NA,NA,0,84,NA,1,5.3,0,0.01,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0.01,NA,0,NA,5.3,NA,adult,"29, 258"
VESPERTILIONIDAE,Scotomanes,Scotomanes ornatus,NA,NA,0,20.9,3.3,7,35.8,1.6,7,NA,NA,0,220,10,7,5.89,9.62,0,0.36,1.35,NA,7,7,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.62,NA,5.89,NA,adult,"25, 258"
VESPERTILIONIDAE,Scotophilus,Scotophilus borbonicus,51,1,15,16,0.18,6,31.73,1.72,16,NA,NA,0,173.59,11.96,16,6.21,10.19,34.39,0.96,0.94,NA,21,21,NA,NA,NA,NA,NA,NA,0,0,0,34.39,NA,10.19,NA,6.21,NA,adult,"4, 166, 238, 258"
VESPERTILIONIDAE,Scotophilus,Scotophilus dinganii,52,1.7,15,26.45,4.31,50,34.72,1.53,31,NA,NA,0,199.52,19.38,31,6.52,10.46,16.34,NA,5.42,NA,50,50,NA,NA,NA,NA,NA,NA,0,0,0,16.34,NA,10.46,NA,6.52,NA,adult,"4, 28, 29, 87, 166"
VESPERTILIONIDAE,Scotophilus,Scotophilus heathii,63,NA,1,34.5,NA,1,42.5,NA,1,NA,NA,0,225,NA,1,7.2,15,24.05,1.13,NA,34.01,2,1,NA,NA,NA,NA,NA,NA,0,0,0,24.05,NA,15,NA,7.2,NA,adult,"4, 30, 258"
VESPERTILIONIDAE,Scotophilus,Scotophilus kuhlii,50.63,1.61,86,19.91,3.13,120,32.75,3.13,121,118.29,3.28,35,172.47,20.81,85,6.99,11.42,0.52,0.74,2.01,4.8,86,85,7,16.8,0.01,0.15,0.4,NA,35,35,35,0.52,0.01,11.42,16.8,6.99,7,adult,"4, 26, 30, 141, 258"
VESPERTILIONIDAE,Scotophilus,Scotophilus nigrita,NA,NA,0,NA,NA,0,58.4,NA,1,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,"4, 258"
VESPERTILIONIDAE,Scotophilus,Scotophilus viridis,46,1.8,9,26.9,3.05,14,31.15,1.24,14,NA,NA,0,168.84,14.38,14,5.9,16.07,0.01,0.19,2.06,NA,14,14,NA,NA,NA,NA,NA,NA,0,0,0,0.01,NA,16.07,NA,5.9,NA,adult,"28, 87"
VESPERTILIONIDAE,Scotorepens,Scotorepens greyii,NA,NA,0,7.61,1.11,48,24.3,2.2,43,NA,NA,0,100,20,43,6.16,7.85,0,0.49,1.17,NA,43,43,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,7.85,NA,6.16,NA,adult,"27, 239, 258"
VESPERTILIONIDAE,Scotorepens,Scotorepens orion,NA,NA,0,11.38,0.88,5,25.7,1.72,5,NA,NA,0,108.6,9.21,5,6.22,10.56,0,0.72,1.41,NA,5,5,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,10.56,NA,6.22,NA,adult,"4, 27"
VESPERTILIONIDAE,Scotozous,Scotozous dormeri,NA,NA,0,7.8,NA,1,25.6,NA,1,NA,NA,0,84,NA,1,6.9,9.1,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,9.1,NA,6.9,NA,adult,"4, 258"
VESPERTILIONIDAE,Tylonycteris,Tylonycteris pachypus,NA,NA,0,3.3,0.44,128,18.98,0.6,128,NA,NA,0,58.22,3.54,127,6.19,5.72,0,0.3,0.62,NA,127,127,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.72,NA,6.19,NA,adult,"4, 25, 80, 258"
VESPERTILIONIDAE,Tylonycteris,Tylonycteris robustula,NA,NA,0,4.9,1.11,74,19.31,0.84,74,52.54,1.23,13,59.04,3.61,61,6.53,7.79,0,0.38,1.39,NA,61,61,7.2,12.2,0.01,0.14,0.29,NA,13,13,13,0,0.01,7.79,12.2,6.53,7.2,adult,"4, 26, 80, 258"
VESPERTILIONIDAE,Vespadelus,Vespadelus darlingtoni,NA,NA,0,6.9,NA,1,26.2,NA,1,NA,NA,0,106,NA,1,6.5,6.4,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.4,NA,6.5,NA,adult,"4, 258"
VESPERTILIONIDAE,Vespadelus,Vespadelus finlaysoni,NA,NA,0,5.5,0.4,4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,adult,239
VESPERTILIONIDAE,Vespadelus,Vespadelus pumilus,NA,NA,0,4.42,0.71,45,22.42,1.49,45,NA,NA,0,79.84,9.94,45,6.38,5.57,0,0.58,1.24,NA,45,45,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,5.57,NA,6.38,NA,adult,"4, 27, 258"
VESPERTILIONIDAE,Vespadelus,Vespadelus regulus,NA,NA,0,5.5,0.59,22,23.8,NA,1,NA,NA,0,83,NA,1,5.37,6.79,36.77,0.5,0.88,NA,22,22,NA,NA,NA,NA,NA,NA,0,0,0,36.77,NA,6.79,NA,5.37,NA,adult,"4, 100, 258"
VESPERTILIONIDAE,Vespadelus,Vespadelus vulturnus,NA,NA,0,4.15,0.57,8,18.68,2.2,8,NA,NA,0,61.12,9.79,8,5.48,6.37,0,0.96,0.49,NA,8,8,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,6.37,NA,5.48,NA,adult,"4, 27, 258"
VESPERTILIONIDAE,Vespertilio,Vespertilio murinus,NA,NA,0,12.8,1.84,2,28.8,1.41,2,NA,NA,0,116.5,7.78,2,7.15,10.6,0,0.21,0.57,0,2,2,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,10.6,NA,7.15,NA,adult,"4, 220, 258"
